Test,Pokedex,Name,Fast,Special,Usless,Eff%,Eff%_Def,TDO,def_TDO
838,150,Mewtwo,Psycho Cut,Psychic,,100%,85%,469,320
840,150,Mewtwo,Psycho Cut,Hyper Beam,,97%,74%,455,277
839,150,Mewtwo,Psycho Cut,Shadow Ball,,86%,78%,406,294
841,150,Mewtwo,Confusion,Psychic,,86%,100%,404,376
843,150,Mewtwo,Confusion,Hyper Beam,,83%,90%,388,337
846,151,Mew,Pound,Psychic,,100%,100%,356,235
842,150,Mewtwo,Confusion,Shadow Ball,,69%,89%,324,335
834,149,Dragonite,Dragon Breath,Dragon Claw,,100%,72%,388,206
833,149,Dragonite,Dragon Breath,Hyper Beam,,94%,74%,365,211
832,149,Dragonite,Dragon Breath,Dragon Pulse,,94%,91%,365,259
849,151,Mew,Pound,Moonblast,,89%,73%,316,171
844,151,Mew,Pound,Blizzard,,97%,81%,345,189
851,151,Mew,Pound,Solar Beam,,97%,86%,345,203
852,151,Mew,Pound,Hyper Beam,,96%,86%,342,202
850,151,Mew,Pound,Fire Blast,,95%,80%,339,188
595,103,Exeggutor,Zen Headbutt,Psychic,,93%,90%,271,233
845,151,Mew,Pound,Earthquake,,94%,80%,336,187
848,151,Mew,Pound,Thunder,,94%,79%,333,186
596,103,Exeggutor,Zen Headbutt,Solar Beam,,100%,89%,291,232
457,80,Slowbro,Water Gun,Psychic,,100%,85%,282,190
592,103,Exeggutor,Confusion,Psychic,,87%,96%,252,248
835,149,Dragonite,Steel Wing,Dragon Pulse,,79%,100%,307,286
847,151,Mew,Pound,Dragon Pulse,,86%,91%,306,213
837,149,Dragonite,Steel Wing,Dragon Claw,,78%,84%,303,239
593,103,Exeggutor,Confusion,Solar Beam,,93%,96%,271,249
460,80,Slowbro,Confusion,Psychic,,85%,100%,240,225
823,146,Moltres,Ember,Fire Blast,,100%,94%,300,225
836,149,Dragonite,Steel Wing,Hyper Beam,,76%,85%,296,244
822,145,Zapdos,Thunder Shock,Thunder,,100%,89%,290,186
594,103,Exeggutor,Zen Headbutt,Seed Bomb,,88%,95%,257,247
821,145,Zapdos,Thunder Shock,Thunderbolt,,98%,100%,286,210
825,146,Moltres,Ember,Flamethrower,,95%,100%,284,239
34,6,Charizard,Wing Attack,Fire Blast,,100%,92%,248,165
767,134,Vaporeon,Water Gun,Hydro Pump,,100%,82%,351,212
824,146,Moltres,Ember,Heat Wave,,93%,84%,277,202
747,130,Gyarados,Dragon Breath,Hydro Pump,,100%,94%,277,159
812,143,Snorlax,Zen Headbutt,Hyper Beam,,95%,100%,374,297
591,103,Exeggutor,Confusion,Seed Bomb,,83%,100%,241,259
819,144,Articuno,Frost Breath,Blizzard,,100%,90%,331,204
811,143,Snorlax,Zen Headbutt,Body Slam,,92%,93%,360,275
36,6,Charizard,Wing Attack,Flamethrower,,94%,99%,232,177
768,134,Vaporeon,Water Gun,Aqua Tail,,93%,87%,327,226
514,89,Muk,Poison Jab,Gunk Shot,,100%,93%,261,180
